time_hours,dimensionless_time,drawdown_psi,fitted_line_psi,residual_psi
30.275649656,1005755.70853,400.864066827,400.864055178,0.0000116486802426
31.7035757442,1053191.34842,401.718150342,401.718137565,0.0000127770492782
33.1988487908,1102864.25121,402.572233867,402.572219953,0.0000139147632012
34.7646451594,1154879.93557,403.426317401,403.42630234,0.0000150614012568
36.4042910246,1209348.89685,404.280400943,404.280384727,0.0000162165614483
38.121269437,1266386.84184,405.134484494,405.134467114,0.0000173798597984
39.9192277225,1326114.93454,405.988568052,405.988549501,0.0000185509299513
41.8019852301,1388660.05356,406.842651618,406.842631888,0.0000197294216946
43.7735414455,1454155.06162,407.696735191,407.696714276,0.0000209150009027
45.8380844864,1522739.08781,408.55081877,408.550796663,0.0000221073483999
48,1594557.82313,409.404902356,409.40487905,0.0000233061591643
